FID,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,FID_,AREA,SUM
71,0,71,39,0.158571509245000,29.763698066800000,-2.595986810470000,29.763699413800001,-2.595987280930000,71,0.000004166333340,91.584719657899996
72,0,72,119,83.597139306599999,29.689695706700000,-2.595425263970000,29.689918297100000,-2.594703155230000,72,0.000006249500010,52.235106468200001
73,0,73,28,1.156741678650000,29.008823745499999,-2.594833472590000,29.008834132000000,-2.594834040240000,73,0.000011110222240,138.175917149000010
74,0,74,119,0.897025333177000,29.710748295900000,-2.591944953130000,29.710750601699999,-2.591937179360000,74,0.000001388777780,47.275852203399999
75,0,75,119,26.185220757700002,29.718746087100001,-2.596222682880000,29.718878537399998,-2.596026892590000,75,0.000057634277870,2632.461611270000000
76,0,76,88,0.804163002876000,29.544178175500001,-2.590666575000000,29.544177816400001,-2.590673838480000,76,0.000001388777780,7.717766761780000
77,0,77,13,9.057346770530000,29.900007687300000,-2.590060987040000,29.899982870700001,-2.589982971800000,77,0.000002777555560,7.915428757670000
78,0,78,39,224.854659196000000,29.751073210600001,-2.604878187580000,29.750509516699999,-2.606831043360000,78,0.000330529111640,12406.342244900001000
79,0,79,131,38.603158479900003,29.753552000999999,-2.586667070720000,29.753336957900000,-2.586393019260000,79,0.000001388777780,58.954345703100003
80,0,80,52,55.839025119299997,29.019704247600000,-2.584500795500000,29.019890008000001,-2.584969948000000,80,0.000001388777780,6.488948583600000
81,0,81,131,68.599905230700003,29.755673534500001,-2.583972057590000,29.755643359600001,-2.584591698850000,81,0.000006249500010,178.723199843999990
82,0,82,137,94.719574982400005,29.735387378100000,-2.582060589530000,29.736128210899999,-2.581637922820000,82,0.000013887777800,103.840586662000010
83,0,83,131,138.657068600000000,29.757142993700000,-2.580704758940000,29.758381281399998,-2.580851323590000,83,0.000012499000020,233.220445633000000
84,0,84,77,51.509237533300002,29.500012071000000,-2.578821802180000,29.500295952999998,-2.578453724740000,84,0.000004166333340,19.502977609599998
85,0,85,39,97.905996975400001,29.768672317299998,-2.578173685580000,29.767792421799999,-2.578144022590000,85,0.000003471944450,52.490576744099997
86,0,86,137,55.087677494300003,29.733160737100000,-2.577034293830000,29.733656095800001,-2.577034293390000,86,0.000002083166670,21.860865116100001
87,0,87,132,139.377528173000000,28.917164378500001,-2.576691158020000,28.918080880900000,-2.575831407330000,87,0.000001388777780,6.789053440090000
88,0,88,132,1.738100142900000,28.917043669800002,-2.572817253170000,28.917028168600002,-2.572815245700000,88,0.000003471944450,22.124324798600000
89,0,89,28,87.280309094000003,28.953409651099999,-2.567679166840000,28.953837739600001,-2.567017603220000,89,0.000009721444460,49.383765459099997
90,0,90,39,15.364284538800000,29.771339818400001,-2.566264546930000,29.771474534700001,-2.566295364570000,90,0.000011110222240,171.134846686999990
91,0,91,76,51.229140884899998,29.029384382700002,-2.565418814370000,29.028966916000002,-2.565222952000000,91,0.000018054111140,452.163133620999990
92,0,92,105,8.337705478660000,29.531652405799999,-2.560830378840000,29.531678470799999,-2.560759680150000,92,0.000006249500010,34.989959716800001
93,0,93,132,4.410109091180000,28.915040275700001,-2.564512170150000,28.915001256299998,-2.564519288400000,93,0.000017359722250,161.663496732999990
94,0,94,105,61.383085629800000,29.540661635999999,-2.559831329260000,29.540553194800001,-2.560375629190000,94,0.000002777555560,15.383636951400000
95,0,95,28,20.400500264900000,28.943287859700000,-2.557620104470000,28.943186947299999,-2.557774173210000,95,0.000003471944450,29.372218608899999
96,0,96,137,94.710531152900003,29.704328752900000,-2.555380133090000,29.704937308700000,-2.554780944610000,96,0.000002777555560,15.285383224500000
97,0,97,77,18.184806990199998,29.478893537299999,-2.554389437510000,29.479017835400001,-2.554496291850000,97,0.000002777555560,35.973606109599999
98,0,98,39,26.895074000400001,29.772305992500002,-2.558006229720000,29.772547088000000,-2.558025324320000,98,0.000014582166690,112.042554855000010
99,0,99,137,137.683430544000000,29.701927050199998,-2.553528897200000,29.702543083999998,-2.552448840690000,99,0.000004860722230,30.687166690800002
100,0,100,78,9.045167034040000,29.739894972999998,-2.553619187100000,29.739832579600002,-2.553671661910000,100,0.000002777555560,37.534985065500003
101,0,101,78,33.620950126399997,29.741757193500000,-2.555752401520000,29.741757085000000,-2.555448350000000,101,0.000009721444460,113.300961494000010
102,0,102,78,55.758537626600003,29.757436635400001,-2.552440175320000,29.757783476699998,-2.552804305060000,102,0.000002083166670,28.989149093599998
103,0,103,137,52.719196359199998,29.702960983499999,-2.552152047050000,29.702688248899999,-2.552542005950000,103,0.000001388777780,10.801243305200000
104,0,104,78,35.960890631100000,29.747372931400001,-2.550913928950000,29.747502467499999,-2.551211907160000,104,0.000002777555560,28.089987277999999
105,0,105,17,33.668560542800002,29.432999479900001,-2.550834120870000,29.432698915800000,-2.550870626090000,105,0.000003471944450,8.706263184550000
106,0,106,39,73.591785946200005,29.772835246600000,-2.550172270940000,29.772176902700000,-2.550239583260000,106,0.000009721444460,114.651093483000000
107,0,107,78,21.038697280899999,29.703376930800001,-2.545539060510000,29.703493138999999,-2.545388925000000,107,0.000002777555560,37.825597286200001
108,0,108,137,18.398804153400000,29.691358240100001,-2.546187914270000,29.691235888700000,-2.546299912530000,108,0.000012499000020,114.455242634000000
109,0,109,131,57.677226088899999,29.762183897600000,-2.542620543610000,29.761885873699999,-2.543047429790000,109,0.000005555111120,77.204870700800001
110,0,110,39,100.039058292000010,29.771549902099999,-2.544071081130000,29.772443602199999,-2.543968099470000,110,0.000020137277810,304.146940707999990
111,0,111,28,226.760480110999990,28.916320172500001,-2.541221109090000,28.916898784000001,-2.539254697000000,111,0.000007638277790,24.329674839999999
112,0,112,131,120.631297247000010,29.761469481700001,-2.538872191800000,29.760387050900000,-2.538801554260000,112,0.000007638277790,86.095431804699999
113,0,113,39,44.680718717100000,29.769005032300001,-2.538087022750000,29.769324028400000,-2.537841373750000,113,0.000004166333340,42.148842811599998
114,0,114,78,89.725284460799998,29.732560173500001,-2.537008542060000,29.732837501999999,-2.537770530000000,114,0.000001388777780,12.920505523699999
115,0,115,132,6.552665540740000,28.888757430999998,-2.537626682890000,28.888793704699999,-2.537673381100000,115,0.000019442888920,237.190776348000010
116,0,116,39,18.970529754200001,29.767312382400000,-2.535515118290000,29.767236068799999,-2.535668552710000,116,0.000001388777780,14.879481792400000
117,0,117,132,2.860318511860000,28.896763057400001,-2.538161985610000,28.896772591700000,-2.538137961240000,117,0.000013887777800,130.029711246000010
118,0,118,132,3.324049380890000,28.883447085600000,-2.534953464670000,28.883444711399999,-2.534983430790000,118,0.000004166333340,65.692065239000001
119,0,119,116,42.540961617599997,29.861097879599999,-2.534796291780000,29.861300326900000,-2.535122715650000,119,0.000003471944450,41.492249012000002
120,0,120,77,1.580186085010000,29.456427461000001,-2.533665868680000,29.456421744000000,-2.533678951370000,120,0.000001388777780,10.924395084400000
121,0,121,132,2.308967210920000,28.874459321100002,-2.531374174610000,28.874454960600001,-2.531394590070000,121,0.000002083166670,34.300663948100002
122,0,122,132,4.673248094080000,28.878669001999999,-2.532694732620000,28.878675829999999,-2.532653031680000,122,0.000005555111120,80.209789276099997
123,0,123,17,23.750313831100001,29.419329124899999,-2.530260087320000,29.419398142300000,-2.530056826650000,123,0.000000694388890,1.387451887130000
124,0,124,105,21.660086030300000,29.576487713799999,-2.528790898660000,29.576453439400002,-2.528598072250000,124,0.000004860722230,58.994362831099998
125,0,125,105,71.642936688399999,29.579790976900000,-2.527468615840000,29.579184948999998,-2.527248897000000,125,0.000001388777780,8.372533082960000
126,0,126,105,11.781662898800001,29.564179758700000,-2.526049970230000,29.564210947100001,-2.525948144490000,126,0.000002083166670,12.728647232100000
127,0,127,137,79.012216644999995,29.654411877000001,-2.526108945010000,29.654951518200001,-2.525644177060000,127,0.000012499000020,124.819111824000000
128,0,128,131,1.993182503460000,29.766019313699999,-2.523810790200000,29.766006178100000,-2.523798527210000,128,0.000002083166670,22.572169303900001
129,0,129,114,5.183699568030000,29.432492162100001,-2.519091005310000,29.432451019999998,-2.519113037650000,129,0.000005555111120,75.395605087299998
130,0,130,132,88.060801806900002,28.874491954700002,-2.520872452600000,28.875037047799999,-2.521450090830000,130,0.000008332666680,202.749183178000010
131,0,131,132,2.489690753210000,28.869476172300001,-2.516494057710000,28.869466543700000,-2.516514384320000,131,0.000004166333340,38.973399639100002
132,0,132,131,127.000398016999990,29.770187263800000,-2.514462791490000,29.769057713999999,-2.514293953560000,132,0.000000694388890,3.164830446240000
133,0,133,21,51.038140946500000,29.815147901000000,-2.513211822250000,29.814828319600000,-2.512880567220000,133,0.000004166333340,27.624288559000000
134,0,134,132,222.420432648999990,28.876067293900000,-2.514588757860000,28.877974230000000,-2.515195051000000,134,0.000023609222260,567.857529640000050
135,0,135,132,3.164357464270000,28.877524547499998,-2.511199432780000,28.877514591400001,-2.511226240600000,135,0.000001388777780,31.834356308000000
136,0,136,39,18.325721325800000,29.750613016100001,-2.511523518920000,29.750545495200001,-2.511674695540000,136,0.000004166333340,34.289229869800003
